panel,seed,condition,mlm_nll,residual_correlation,contrast,mean,fixed_ci_low,fixed_ci_high,nested_ci_low,nested_ci_high,uncertainty,texts,macro_text_correlation,pooled_edge_correlation
provo,101,mlm,3.927434742345219,0.011429157415798124,,,,,,,,,,
provo,101,gaze,3.927458663535329,0.028400181881441753,,,,,,,,,,
provo,202,mlm,3.9020210671213875,-0.011562164472304369,,,,,,,,,,
provo,202,gaze,3.902044043076777,0.037109444593917865,,,,,,,,,,
provo,303,mlm,3.9167393237088635,0.018861472083991904,,,,,,,,,,
provo,303,gaze,3.916635219607733,0.02178395895343739,,,,,,,,,,
provo,404,mlm,3.912327440650062,-0.007440530787380462,,,,,,,,,,
provo,404,gaze,3.9122376230965674,0.04171517596005787,,,,,,,,,,
provo,505,mlm,3.9083082823626762,-0.021016043830875852,,,,,,,,,,
provo,505,gaze,3.908304879517682,0.04679608176376544,,,,,,,,,,
zuco,,,,,gaze_vs_mlm,0.012751319780283122,-0.008896959351690518,0.032887435154326364,-0.01880867180395609,0.03814213430188625,fixed-12 text bootstrap and reader-and-text nested bootstrap,193,,
zuco,,,,,gaze_vs_shuffled,0.02113956372465676,0.007234427160559796,0.03531300128192966,-0.008488835386362683,0.0365372006799832,fixed-12 text bootstrap and reader-and-text nested bootstrap,193,,
zuco,,,,,gaze_vs_position,0.00908923456605631,-0.010750624110824765,0.02822491173065381,-0.02265055550318973,0.03607729291205673,fixed-12 text bootstrap and reader-and-text nested bootstrap,193,,
provo_summary,,gaze,,,,,,,,,,10,0.03855330028262015,0.035590736995232776
