dataset,endpoint,estimand,estimate,secondary,ci95,raw_p,holm_p,unit_direction
Provo,gaze,correlation (r),0.03855,0.03559,,,,10 fixed test texts; secondary=pooled r
Provo,gaze,MLM NLL,3.87196,3.91334,,,,text-equal; secondary=token-pooled; lower is better
Provo,mlm,correlation (r),-0.00221,-0.00099,,,,10 fixed test texts; secondary=pooled r
Provo,mlm,MLM NLL,3.87199,3.91337,,,,text-equal; secondary=token-pooled; lower is better
Provo,gaze_minus_shuffled,paired per-text Fisher-z difference,0.05509,,"[0.03475, 0.07836]",0.00196,0.00588,10 texts; positive favors gaze
Provo,gaze_minus_mlm,paired per-text Fisher-z difference,0.04078,,"[0.01725, 0.06267]",0.02144,0.02144,10 texts; positive favors gaze
Provo,gaze_minus_position,paired per-text Fisher-z difference,0.03969,,"[0.01496, 0.07142]",0.00196,0.00588,10 texts; positive favors gaze
ZuCo,gaze_vs_mlm,text-equal Fisher-z difference,0.0128,,"fixed-12 [-0.0089, 0.0329]; reader+text [-0.0188, 0.0381]",0.2441,,193 texts; positive favors gaze
ZuCo,gaze_vs_shuffled,text-equal Fisher-z difference,0.0211,,"fixed-12 [0.0072, 0.0353]; reader+text [-0.0085, 0.0365]",0.0035,,193 texts; positive favors gaze
ZuCo,gaze_vs_position,text-equal Fisher-z difference,0.0091,,"fixed-12 [-0.0108, 0.0282]; reader+text [-0.0227, 0.0361]",0.3660,,193 texts; positive favors gaze
